"일시 실행 1","시간 (s) 실행 1","힘 (N) 실행 1","가속도 - x (m/s²) 실행 1","가속도 - y (m/s²) 실행 1","가속도, Z (m/s²) 실행 1","가속도, |합벡터| (m/s²) 실행 1","각 속도, X (rad/s) 실행 1","각 속도, Y (rad/s) 실행 1","각 속도, Z (rad/s) 실행 1","일시 실행 2","시간 (s) 실행 2","힘 (N) 실행 2","가속도 - x (m/s²) 실행 2","가속도 - y (m/s²) 실행 2","가속도, Z (m/s²) 실행 2","가속도, |합벡터| (m/s²) 실행 2","각 속도, X (rad/s) 실행 2","각 속도, Y (rad/s) 실행 2","각 속도, Z (rad/s) 실행 2","일시 실행 3","시간 (s) 실행 3","힘 (N) 실행 3","가속도 - x (m/s²) 실행 3","가속도 - y (m/s²) 실행 3","가속도, Z (m/s²) 실행 3","가속도, |합벡터| (m/s²) 실행 3","각 속도, X (rad/s) 실행 3","각 속도, Y (rad/s) 실행 3","각 속도, Z (rad/s) 실행 3","일시 실행 4","시간 (s) 실행 4","힘 (N) 실행 4","가속도 - x (m/s²) 실행 4","가속도 - y (m/s²) 실행 4","가속도, Z (m/s²) 실행 4","가속도, |합벡터| (m/s²) 실행 4","각 속도, X (rad/s) 실행 4","각 속도, Y (rad/s) 실행 4","각 속도, Z (rad/s) 실행 4"
2022/10/17 22:25:19,0.000,0.20,0.1,0.3,9.8,9.8,0.0,0.0,0.0,2022/10/17 22:25:35,0.000,-0.03,-4.7,-0.4,8.2,9.4,-0.1,-0.9,0.8,2022/10/17 22:27:34,0.000,0.05,-3.7,-2.4,8.7,9.7,0.0,0.0,-0.1,2022/10/17 22:33:15,0.000,2.60,0.0,-0.3,10.0,10.0,0.0,0.0,0.0
2022/10/17 22:25:19,0.010,0.20,0.1,0.3,9.8,9.8,0.0,0.0,0.0,2022/10/17 22:25:35,0.010,-0.02,-4.4,-0.3,8.4,9.5,-0.2,-1.0,0.9,2022/10/17 22:27:34,0.010,0.04,-3.7,-2.4,8.7,9.7,0.0,0.0,-0.1,2022/10/17 22:33:15,0.010,2.59,0.0,-0.3,9.9,9.9,0.0,0.0,0.0
2022/10/17 22:25:19,0.020,0.19,0.1,0.3,9.8,9.8,0.0,0.0,0.0,2022/10/17 22:25:35,0.020,-0.03,-4.2,-0.3,8.6,9.5,-0.2,-1.0,1.0,2022/10/17 22:27:34,0.020,0.04,-3.7,-2.4,8.7,9.7,0.0,0.0,-0.1,2022/10/17 22:33:15,0.020,2.58,0.0,-0.3,9.9,9.9,0.0,0.0,0.0
2022/10/17 22:25:19,0.030,0.19,0.1,0.3,9.8,9.8,0.0,0.0,0.0,2022/10/17 22:25:35,0.030,-0.04,-4.0,-0.2,8.8,9.7,-0.3,-1.0,1.1,2022/10/17 22:27:34,0.030,0.04,-3.6,-2.4,8.7,9.7,0.0,0.0,-0.1,2022/10/17 22:33:15,0.030,2.57,0.1,-0.4,9.8,9.8,0.0,0.0,0.0
2022/10/17 22:25:19,0.040,0.20,0.1,0.2,9.8,9.8,0.0,0.0,0.0,2022/10/17 22:25:35,0.040,-0.04,-3.7,0.0,9.0,9.7,-0.4,-0.9,1.2,2022/10/17 22:27:34,0.040,0.04,-3.6,-2.5,8.7,9.7,0.0,0.0,-0.1,2022/10/17 22:33:15,0.040,2.56,0.1,-0.4,9.7,9.7,0.0,0.0,0.0
2022/10/17 22:25:19,0.050,0.19,0.1,0.2,9.8,9.8,0.0,0.0,0.0,2022/10/17 22:25:35,0.050,-0.04,-3.5,0.4,9.1,9.7,-0.4,-0.8,1.2,2022/10/17 22:27:34,0.050,0.03,-3.7,-2.6,8.7,9.8,0.0,0.0,-0.1,2022/10/17 22:33:15,0.050,2.54,0.1,-0.4,9.7,9.7,0.0,0.0,0.0
2022/10/17 22:25:19,0.060,0.19,0.1,0.3,9.8,9.8,0.0,0.0,0.0,2022/10/17 22:25:35,0.060,-0.03,-3.2,0.8,9.1,9.7,-0.3,-0.8,1.2,2022/10/17 22:27:34,0.060,0.02,-3.7,-2.7,8.7,9.8,0.0,0.0,-0.1,2022/10/17 22:33:15,0.060,2.54,0.2,-0.4,9.7,9.7,0.0,0.0,0.0
2022/10/17 22:25:19,0.070,0.18,0.1,0.3,9.8,9.8,0.0,0.0,0.0,2022/10/17 22:25:35,0.070,-0.04,-3.1,1.1,9.3,9.8,-0.3,-0.8,1.1,2022/10/17 22:27:34,0.070,0.03,-3.7,-2.7,8.7,9.9,0.0,0.0,-0.1,2022/10/17 22:33:15,0.070,2.54,0.1,-0.4,9.8,9.8,0.0,0.0,0.0
2022/10/17 22:25:19,0.080,0.18,0.1,0.3,9.8,9.8,0.0,0.0,0.0,2022/10/17 22:25:35,0.080,-0.03,-3.2,1.1,9.4,10.0,-0.3,-0.8,0.9,2022/10/17 22:27:34,0.080,0.02,-3.7,-2.7,8.8,9.9,0.0,0.1,-0.1,2022/10/17 22:33:15,0.080,2.54,0.1,-0.4,9.8,9.8,0.0,-0.1,0.0
2022/10/17 22:25:19,0.090,0.18,0.1,0.2,9.8,9.8,0.0,0.0,0.0,2022/10/17 22:25:35,0.090,-0.03,-3.1,1.2,9.7,10.3,-0.2,-0.7,0.8,2022/10/17 22:27:34,0.090,0.01,-3.7,-2.7,8.8,9.9,0.0,0.1,-0.1,2022/10/17 22:33:15,0.090,2.55,0.1,-0.4,9.9,9.9,0.0,0.0,0.0
