time,Theta_set,Theta_input
500,40,87.68
501,40,87.67
502,40,87.66
503,40,87.67
504,40,87.66
505,40,87.66
506,40,87.66
507,40,87.65
508,40,87.64
509,40,87.64
510,40,87.64
511,40,87.64
512,40,87.63
513,40,87.62
514,40,87.62
515,40,87.61
516,40,87.61
517,40,87.6
518,40,87.61
519,40,87.6
520,40,87.59
521,40,87.58
522,40,87.58
523,40,87.58
524,40,87.58
525,40,87.57
526,40,87.56
527,40,87.57
528,40,87.56
529,40,87.56
530,40,87.56
531,40,87.55
532,40,87.54
533,40,87.55
534,40,87.54
535,40,87.54
536,40,87.54
537,40,87.53
538,40,87.52
539,40,87.52
540,40,87.52
541,40,87.52
542,40,87.52
543,40,87.51
544,40,87.51
545,40,87.5
546,45,87.51
547,45,87.5
548,45,87.49
549,45,87.5
550,45,87.49
551,45,87.49
552,45,87.48
553,45,87.49
554,45,87.48
555,45,87.48
556,45,87.48
557,45,87.47
558,45,87.46
559,45,87.47
560,45,87.46
561,45,87.46
562,45,87.46
563,45,87.45
564,45,87.45
565,45,87.44
566,45,87.45
567,45,87.44
568,45,87.45
569,45,87.44
570,45,87.44
571,45,87.43
572,45,87.44
573,45,87.43
574,45,87.44
575,45,87.43
576,45,87.43
577,45,87.42
578,45,87.42
579,45,87.41
580,45,87.42
581,45,87.41
582,45,87.42
583,45,87.41
584,45,87.4
585,45,87.4
586,45,87.4
587,45,87.4
588,45,87.39
589,45,87.4
590,45,87.4
591,45,87.39
592,45,87.4
593,45,87.39
594,45,87.4
595,45,87.39
596,45,87.39
597,45,87.38
598,45,87.39
599,45,87.37
600,45,87.38
601,45,87.37
602,45,87.38
603,45,87.37
604,45,87.37
605,45,87.37
606,45,87.37
607,45,87.38
608,45,87.36
609,45,87.37
610,45,87.36
611,45,87.37
612,45,87.36
613,45,87.36
614,45,87.37
615,45,87.36
616,45,87.35
617,45,87.36
618,45,87.35
619,45,87.35
620,45,87.36
621,45,87.35
622,45,87.36
623,45,87.36
624,45,87.35
625,45,87.35
626,45,87.35
627,45,87.35
628,45,87.34
629,45,87.34
630,45,87.35
631,45,87.34
632,45,87.35
633,45,87.34
634,45,87.34
635,45,87.33
636,45,87.34
637,45,87.33
638,45,87.33
639,45,87.34
640,45,87.33
641,45,87.33
642,45,87.32
643,45,87.33
644,45,87.33
645,45,87.33
646,40,87.33
647,40,87.33
648,40,87.33
649,40,87.33
650,40,87.32
651,40,87.33
652,40,87.32
653,40,87.32
654,40,87.31
655,40,87.31
656,40,87.32
657,40,87.31
658,40,87.32
659,40,87.31
660,40,87.31
661,40,87.31
662,40,87.3
663,40,87.31
664,40,87.3
