ime,Theta_set,Theta_input
0,40,0
1,40,-244.59
2,40,-244.09
3,40,-243.38
4,40,-242.57
5,40,-241.71
6,40,-240.79
7,40,-239.86
8,40,-239.02
9,40,-238.25
10,40,-237.63
11,40,-237.14
12,40,-236.75
13,40,-236.47
14,40,-236.27
15,40,-236.15
16,40,-236.1
17,40,-236.12
18,40,-236.16
19,40,-236.28
20,40,-236.32
21,40,-236.34
22,40,-236.33
23,40,-236.31
24,40,-236.22
25,40,-235.99
26,40,-235.68
27,40,-235.38
28,40,-235.08
29,40,-234.8
30,40,-234.55
31,40,-234.32
32,40,-234.09
33,40,-233.79
34,40,-233.33
35,40,-232.72
36,40,-231.99
37,40,-231.11
38,40,-230.21
39,40,-229.2
40,40,-228.04
41,40,-226.75
42,45,-225.37
43,45,-223.94
44,45,-222.49
45,45,-221.05
46,45,-219.68
47,45,-218.42
48,45,-217.31
49,45,-216.4
50,45,-215.71
51,45,-215.29
52,45,-215.1
53,45,-215.12
54,45,-215.32
55,45,-215.6
56,45,-215.93
57,45,-216.35
58,45,-216.72
59,45,-217.06
60,45,-217.33
61,45,-217.53
62,45,-136.35
63,45,-136.19
64,45,-135.94
65,45,-135.56
66,45,-135.03
67,45,-134.26
68,45,-133.31
69,45,-133.31
70,45,-132.21
71,45,-130.98
72,45,-129.66
73,45,-128.15
74,45,-126.69
75,45,-125.14
76,45,-123.49
77,45,-121.81
78,45,-120.05
79,45,-118.29
80,45,-116.55
81,45,-114.72
82,45,-112.9
83,45,-111.12
84,45,-109.3
85,45,-107.49
86,45,-105.67
87,45,-103.93
88,45,-102.14
89,45,-100.36
90,45,-98.48
91,45,-96.64
92,45,-94.8
93,45,-92.94
94,45,-91.04
95,45,-89.07
96,45,-87.1
97,45,-85.09
98,45,-82.95
99,45,-80.73
100,45,-78.37
101,45,-75.96
102,45,-73.4
103,45,-70.78
104,45,-68.09
105,45,-65.3
106,45,-62.47
107,45,-59.57
108,45,-56.62
109,45,-53.62
110,45,-50.6
111,45,-47.6
112,45,-44.58
113,45,-41.52
114,45,-38.48
115,45,-35.5
116,45,-32.6
117,45,-29.71
118,45,-26.89
119,45,-24.06
120,45,-21.29
121,45,-18.56
122,45,-15.86
123,45,-13.16
124,45,-10.77
125,45,-8.63
126,45,-6.63
127,45,-4.66
128,45,-2.83
129,45,-1.07
130,45,0.6
131,45,2.22
132,45,3.81
133,45,5.33
134,45,6.78
135,45,8.19
136,45,9.41
137,45,10.47
138,45,11.39
139,45,12.14
140,45,12.85
141,45,13.43
142,45,13.99
143,45,14.5
144,40,15.04
145,40,15.51
146,40,15.89
147,40,16.15
148,40,16.33
149,40,16.56
150,40,16.84
151,40,17.19
152,40,17.55
153,40,17.98
154,40,18.47
155,40,19.06
156,40,19.66
157,40,20.36
158,40,21.05
159,40,21.77
160,40,22.52
161,40,23.3
162,40,24.09
163,40,24.86
164,40,25.64
165,40,26.5
166,40,27.37
167,40,28.15
168,40,29.11
169,40,30.19
170,40,31.25
171,40,32.34
172,40,33.48
173,40,34.61
174,40,35.72
175,40,36.82
176,40,37.91
177,40,39.02
178,40,40.09
179,40,41.18
180,40,42.33
