"일시 실행 1","시간 (s) 실행 1","힘 (N) 실행 1","가속도 - x (m/s²) 실행 1","가속도 - y (m/s²) 실행 1","가속도, Z (m/s²) 실행 1","가속도, |합벡터| (m/s²) 실행 1","각 속도, X (rad/s) 실행 1","각 속도, Y (rad/s) 실행 1","각 속도, Z (rad/s) 실행 1"
2022/10/18 17:07:47,0.000,2.20,-2.6,-1.5,9.5,10.0,0.0,0.0,0.1
2022/10/18 17:07:47,0.010,2.20,-2.5,-1.5,9.5,9.9,0.0,0.0,0.1
2022/10/18 17:07:47,0.020,2.21,-2.5,-1.4,9.5,9.9,0.0,0.0,0.1
2022/10/18 17:07:47,0.030,2.23,-2.5,-1.4,9.4,9.8,0.0,0.0,0.0
2022/10/18 17:07:47,0.040,2.23,-2.6,-1.4,9.5,9.9,0.0,0.0,0.0
2022/10/18 17:07:47,0.050,2.23,-2.7,-1.3,9.5,10.0,0.0,0.0,0.0
2022/10/18 17:07:47,0.060,2.22,-2.7,-1.3,9.6,10.0,0.0,-0.1,0.0
2022/10/18 17:07:47,0.070,2.22,-2.6,-1.3,9.6,10.0,0.0,-0.1,0.0
2022/10/18 17:07:47,0.080,2.20,-2.5,-1.2,9.6,10.0,0.0,-0.1,0.0
2022/10/18 17:07:47,0.090,2.19,-2.5,-1.3,9.6,10.0,0.0,-0.1,0.0
2022/10/18 17:07:47,0.100,2.18,-2.5,-1.3,9.6,10.0,0.0,0.0,0.0
2022/10/18 17:07:47,0.110,2.17,-2.5,-1.4,9.6,10.0,0.0,0.0,0.0
2022/10/18 17:07:47,0.120,2.18,-2.5,-1.5,9.5,9.9,0.0,0.0,0.0
2022/10/18 17:07:47,0.130,2.17,-2.5,-1.5,9.4,9.9,0.0,0.0,0.0
2022/10/18 17:07:47,0.140,2.18,-2.5,-1.5,9.4,9.9,0.0,0.0,-8.6E-4
2022/10/18 17:07:47,0.150,2.20,-2.6,-1.5,9.4,9.9,0.0,0.1,0.0
2022/10/18 17:07:47,0.160,2.23,-2.6,-1.4,9.4,9.8,0.0,0.1,0.0
2022/10/18 17:07:47,0.170,2.24,-2.7,-1.4,9.4,9.8,0.1,0.1,0.0
2022/10/18 17:07:47,0.180,2.26,-2.7,-1.4,9.4,9.8,0.1,0.1,0.0
2022/10/18 17:07:47,0.190,2.28,-2.7,-1.4,9.4,9.8,0.1,0.1,0.0
2022/10/18 17:07:47,0.200,2.27,-2.8,-1.4,9.4,9.9,0.0,0.1,0.0
2022/10/18 17:07:47,0.210,2.27,-2.8,-1.4,9.4,9.9,0.0,0.0,0.0
2022/10/18 17:07:47,0.220,2.27,-2.9,-1.4,9.4,10.0,0.0,0.0,0.0
