"일시 실행 1","시간 (s) 실행 1","힘 (N) 실행 1","가속도 - x (m/s²) 실행 1","가속도 - y (m/s²) 실행 1","가속도, Z (m/s²) 실행 1","가속도, |합벡터| (m/s²) 실행 1","각 속도, X (rad/s) 실행 1","각 속도, Y (rad/s) 실행 1","각 속도, Z (rad/s) 실행 1","일시 실행 2","시간 (s) 실행 2","힘 (N) 실행 2","가속도 - x (m/s²) 실행 2","가속도 - y (m/s²) 실행 2","가속도, Z (m/s²) 실행 2","가속도, |합벡터| (m/s²) 실행 2","각 속도, X (rad/s) 실행 2","각 속도, Y (rad/s) 실행 2","각 속도, Z (rad/s) 실행 2"
2022/10/21 05:28:29,0.000,-2.79,-9.8,0.1,0.5,9.8,0.0,0.1,0.0,2022/10/21 05:28:59,0.000,-2.68,-9.8,0.1,0.5,9.8,0.0,0.0,0.0
2022/10/21 05:28:29,0.050,-2.80,-9.7,0.2,0.5,9.7,0.0,0.2,0.0,2022/10/21 05:28:59,0.010,-2.68,-9.8,0.1,0.5,9.8,0.0,0.0,0.0
2022/10/21 05:28:29,0.100,-2.73,-9.9,0.1,0.7,9.9,0.0,0.1,0.0,2022/10/21 05:28:59,0.020,-2.70,-9.8,0.1,0.5,9.8,0.0,0.0,0.0
2022/10/21 05:28:29,0.150,-2.75,-9.8,0.2,0.4,9.8,0.0,0.0,0.0,2022/10/21 05:28:59,0.030,-2.72,-9.8,0.1,0.5,9.8,0.0,0.0,0.0
2022/10/21 05:28:29,0.200,-2.80,-9.8,0.0,0.4,9.8,0.0,7.3E-4,0.0,2022/10/21 05:28:59,0.040,-2.71,-9.8,0.2,0.5,9.8,0.0,0.0,0.0
2022/10/21 05:28:29,0.250,-2.81,-9.8,0.0,0.2,9.8,0.0,0.1,0.0,2022/10/21 05:28:59,0.050,-2.69,-9.8,0.2,0.5,9.8,0.0,0.0,0.0
2022/10/21 05:28:29,0.300,-2.72,-9.9,0.1,0.7,10.0,0.0,-0.1,0.0,2022/10/21 05:28:59,0.060,-2.69,-9.8,0.1,0.5,9.8,0.0,0.0,0.0
2022/10/21 05:28:29,0.350,-2.70,-9.8,0.2,0.3,9.8,3.7E-4,-0.1,0.0,2022/10/21 05:28:59,0.070,-2.71,-9.8,0.1,0.5,9.9,0.0,0.0,0.0
2022/10/21 05:28:29,0.400,-2.63,-9.8,0.2,0.6,9.8,0.0,-0.1,3.7E-4,2022/10/21 05:28:59,0.080,-2.70,-9.9,0.1,0.5,9.9,0.0,0.0,0.0
2022/10/21 05:28:29,0.450,-2.65,-9.8,0.0,0.5,9.8,-8.6E-4,-0.1,0.0,2022/10/21 05:28:59,0.090,-2.72,-9.8,0.1,0.5,9.8,0.0,0.0,0.0
